Name,County,Location,Dedicated Date,Lattitude,Longitude,Marker Type,Missing?,Categories,Marker Text,Text Len,Year,
"Jewish Hospital, The",Philadelphia,"At hospital, 5501 Old York Rd., at intersection of Albert Einstein Dr., Philadelphia","Wednesday, October 11, 2017",40.03695,-75.14461,Roadside,No,"Ethnic & Immigration, Science & Medicine, Religion","Organized in 1865, it was the first hospital in Pa. funded and established by Jewish people to treat members of their religion, although it was open to all. By the mid-1800s, Philadelphia’s Jewish population rose sharply, primarily because of Jews fleeing Germany. The Jewish Hospital provided kosher food and observed Jewish religious practices unavailable at other hospitals. It was renamed Albert Einstein Medical Center in 1952.",432,2017,
Anna Thomas Jeanes (1822-1907),Philadelphia,"Entrance to Jeanes Hospital, 7600 Central Ave., Philadelphia","Thursday, September 12, 2019",40.0691,-75.0867,Roadside,No,"Education, Science & Medicine, Women","A Quaker activist passionate about public health and education, Jeanes set up a bequest to fund a facility that became Jeanes Hospital and Fox Chase Cancer Center. She also financed the Jeanes Foundation, or Negro Rural School Fund, and appointed Booker T. Washington a trustee. The fund supported the training of black teachers, known as Jeanes Supervisors, who provided southern black youth with academic and vocational education.",432,2019,
Jefferson Street Ballparks,Philadelphia,"outside park on Jefferson St. at Bailey St., Philadelphia","Saturday, September 30, 2017",39.97844,-75.17868,Roadside,No,"African American, Baseball, Sports & Recreation","The Jefferson Street Grounds and later Athletic Park hosted several monumental games here. Early civil rights activist Octavius Catto captained the Pythians against the white Olympic ball club in 1869 - the first interracial baseball game. The first National League game was also played here in 1876. In operation between 1864 and 1891, the venues saw baseball evolve from an amateur pastime into a competitive professional sport.",430,2017,
Laurel Hill Cemetery,Philadelphia,"3822 Ridge Ave., Philadelphia","Saturday, May 20, 2000",40.00427,-75.18743,Roadside,No,"Buildings & Architecture, Environment","Founded in 1836 and designed by Scottish architect John Notman, this was the nation's second major rural cemetery. With its rolling landscape, horticultural plantings, and eclectic architecture, it offered a romantic alternative to the crowded urban environment. Overlooking the Schuylkill River, 3.5 miles north of center-city, it had grown by 1861 to 78 acres. This cemetery was designated a National Historic Landmark in 1998.",429,2000,
Kelpius Community,Philadelphia,"Hermit Ln. near Henry Ave., Fairmount Park, Philadelphia","Saturday, April 17, 2004",40.02517,-75.20085,Roadside,No,"Education, Ethnic & Immigration, Native American, Religion, William Penn","In 1694, German mystic Johannes Kelpius and his followers established a community near here in response to William Penn’s offer of religious freedom. Members of the “Hermits of the Wissahickon” produced poetry and music, practiced astronomy and botany, and made an early pipe organ, as they awaited the millenium. They welcomed all ethnic groups and Native Americans. The community gradually dissolved after Kelpius died in 1708.",429,2004,
"Woodlands, The",Philadelphia,"4000 Woodland Ave., Philadelphia","Saturday, December 28, 1996",39.94907,-75.20354,Roadside,No,"Buildings & Architecture, Environment, Mansions & Manors","Here, William Hamilton (1745-1813) created one of the finest landscape gardens of its day and introduced many exotic plants. His mansion and stable, built 1787-92, are early examples of the neoclassical Adamesque-Federal style. In 1840 the estate became one of the first large rural cemeteries in America. The writer S. Weir Mitchell, artist Thomas Eakins, nurse-reformer Alice Fisher, and architect Wilson Eyre are buried here.",428,1996,
Commercial Digital Computer Birthplace,Philadelphia,"3747 Ridge Ave., Philadelphia","Thursday, September 28, 2006",40.00211,-75.18695,Roadside,No,"Business & Industry, Invention","BINAC, the world’s first commercial, electronic, stored program, digital computer passed verification tests here, at 3747 Ridge Ave., on April 7, 1949. Customer acceptance of UNIVAC I, the world’s first open market, commercial computer, followed on March 30, 1951. J. Presper Eckert and John W. Mauchly, co-inventors of ENIAC, led the development of both of these pioneering machines, which launched the commercial computer age.",428,2006,
Harvey Pollack (1922-2015),Philadelphia,"Grounds of Wells Fargo Center, near Xfinity, off Zinkoff Blvd., Philadelphia","Thursday, May 19, 2016",39.90361,-75.17009,Roadside,No,"Basketball, Professions & Vocations, Sports & Recreation","Innovator of basketball statistics and player evaluation. NBA statistician from 1946 to 2014 with the Philadelphia Warriors and 76ers. Known as “Super Stat,” he revolutionized analysis by creating categories such as rebounds, assists, and turnovers. A Temple graduate, he received a Lifetime Achievement Award from the Naismith Memorial Basketball Hall of Fame in 2002. His annual NBA statistical guide was in demand worldwide.",427,2016,
"Grand Battery, The",Philadelphia,"S Columbus Blvd., near US Coast Guard Station, Philadelphia","Sunday, December 7, 1997",39.93262,-75.14346,Roadside,No,"Forts, French & Indian War, Military","Known also as the Association Battery, this was Pennsylvania's largest early fortification. Originally built in 1748, shortly after formation of a volunteer military force called the Association, it mounted 27 guns; within a few years it held some 50 guns. Later the first Philadelphia Navy Yard was here, 1800-1875. A short distance to the north, the smaller Society Hill Battery was built in April 1748; it mounted 13 guns.",425,1997,
South 9th Street Curb Market,Philadelphia,"NE corner of 9th & Christian Sts., Phila.","Friday, October 12, 2007",39.939,-75.15778,Roadside,No,"Business & Industry, Ethnic & Immigration, Roads",One of several curb markets established in the early 20th century to counter high prices and food shortages during WWI. The 9th St. Market has survived despite anti-immigrant sentiments and criticisms regarding sanitary conditions and traffic congestion. Neighborhood businesses offered fresh produce and a variety of ethnic specialty foods. It has evolved from a local community market to become a popular Philadelphia icon.,425,2007,
St. John the Evangelist Roman Catholic Church,Philadelphia,"21 S 13th St (at Clover), Philadelphia","Sunday, October 4, 2015",39.95116,-75.16157,Roadside,No,"Artists, Music & Theater, Religion","Established in 1830, the church served as the Roman Catholic cathedral for Pennsylvania, Delaware, and part of New Jersey from 1838 to 1864. A strong patron of the arts, the church was decorated in 1832 with frescoes by artist Nicola Monachesi. In 1834 it was the venue for the American premier of Mozart’s Requiem Mass in D Minor in its entirety. The original building burned in 1899; it was rebuilt and consecrated in 1902.",425,2015,
Wilt Chamberlain (1936-1999),Philadelphia,"Overbrook High School, N 59th St. & Lancaster Ave., Philadelphia","Thursday, September 28, 2000",39.98113,-75.23946,Roadside,No,"Basketball, Sports & Recreation","A legendary basketball player, born in Philadelphia. Earned national attention at Overbrook High School and at the University of Kansas. Played professionally for the Harlem Globetrotters, Philadelphia Warriors and 76ers, and Los Angeles Lakers, 1958-73. A dominant center, he set records for both rebounding and scoring; scored 100 points in one game, 1962. Most Valuable Player four times. Member, Basketball Hall of Fame.",424,2000,
African American Baseball in Philadelphia,Philadelphia,"SW corner, Belmont & Parkside Aves., Philadelphia","Saturday, April 25, 1998",39.97762,-75.21356,Roadside,No,"African American, Baseball, Sports & Recreation","For 85 years, starting with the Pythians and Excelsiors in 1867, Black ball clubs were a significant part of the Philadelphia scene. The Giants, formed 1902, were soon ""World's Colored Champions."" The Hilldales, Eastern Colored League Champions, 1923-25, won the Colored World Series, 1925. The Philadelphia Stars from 1933-52; they were in the Negro National League, 1933-48, & many of their games took place at this site.",423,1998,
Connie Mack (1862-1956),Philadelphia,"604 W Cliveden St., Philadelphia","Saturday, May 30, 1998",40.03788,-75.19197,Roadside,No,"Baseball, Sports & Recreation","""Grand Old Man of Baseball."" He started as a catcher in New England, 1883. As manager of the Philadelphia Athletics, 1901-1950 -- a record fifty years -- he led the team to nine American League pennants, 1902-31, & five World Series championships, 1910-30. In baseball's first All-Star Game, he managed the victorious American League team, 1933. Elected to the Baseball Hall of Fame, 1937. He lived on Cliveden Street here.",423,1998,
"Dixie Hummingbirds, The",Philadelphia,"2435 N College Ave., Philadelphia","Tuesday, June 6, 2017",39.97454,-75.17682,Roadside,No,"African American, Music & Theater, Performers, Religion","Renowned African American gospel vocal group originally formed in 1928; members received a National Endowment for the Arts Heritage Fellowship in 2000. They influenced popular musicians, including James Brown, Stevie Wonder, and the Temptations. Their version of Paul Simon’s “Loves Me Like a Rock” won a Grammy Award in 1974. Founder James B. Davis (1916-2001) lived in this home, which served as the group’s headquarters.",423,2017,
Civilian Public Service,Philadelphia,"Friends Center at 1501 Cherry St., Philadelphia","Saturday, October 26, 1996",39.95564,-75.16514,Roadside,No,"Agriculture, Business & Industry, Labor, Science & Medicine, Military, Military Post-Civil War, Religion","During World War II, some 12,000 men who were classified as conscientious objectors to war -- about fifteen percent of them from Pennsylvania -- served in non-military occupations across the United States. Under the leadership of Mennonite, Quaker, and Church of the Brethren agencies, they were engaged in mental health care and medical experiments, in forestry and on dairy farms, and in other important civic projects.",421,1996,
Fairmount Water Works,Philadelphia,"At waterworks, corner of Waterworks Dr. & Kelly Dr., Philadelphia","Wednesday, April 9, 1997",39.96906,-75.18461,Roadside,No,"Buildings & Architecture, Business & Industry, Science & Medicine","Centerpiece of Philadelphia's water system, 1815-1909. The neoclassical buildings, designed by Frederick Graff and Frederic Graff, Jr., concealed huge machines that pumped Schuylkill River water to a reservoir above, whence it flowed to the city. Power was originally supplied by Oliver Evans' high-pressure steam engine, the largest of its day. After 1821 the pumps were driven by breast wheels; after 1851, by turbines.",421,1997,
Veterans Stadium,Philadelphia,"NE corner, S Broad St. & Pattison Ave., Philadelphia","Wednesday, September 28, 2005",39.93706,-75.14208,Roadside,No,"Baseball, Football, Sports & Recreation","A multi-purpose stadium opened here in 1971 and served as home to Philadelphia Phillies and Philadelphia Eagles, 1971-2003. The stadium was the site of three World Series in 1980, 1983, and 1993; two Major League Baseball All-Star games in 1976 and 1996; two National Football Conference Championship games in 1981 and 2003; and 17 Army-Navy football games. ""The Vet"" had a seating capacity of over 65,000; razed in 2004.",421,2005,
Thomas E. Cahill (1828-1878),Philadelphia,"E side of N Broad St., between Vine & Pearl, Philadelphia","Tuesday, September 29, 2009",39.95829,-75.16222,Roadside,No,"Education, Entrepreneurs, Ethnic & Immigration, Religion","Entrepreneur and philanthropist who bequeathed the bulk of his estate to establish Roman Catholic High School for Boys, the first free Catholic high school in the US. Founded here in 1890, the school initiated a diocesan high school system that became a model throughout the nation. Coming from a poor immigrant family, Cahill sought to provide young men from similar backgrounds with the secondary education denied him.",420,2009,
Rittenhouse Town,Philadelphia,"Lincoln Dr. at Rittenhouse St. just off Wissahickon Ave., Fairmount Park, Philadelphia","Monday, April 8, 1991",40.02917,-75.18995,Roadside,No,"Buildings & Architecture, Business & Industry, Cities & Towns, Early Settlement, Mansions & Manors, Science & Medicine, Mills, Religion","William Rittenhouse, first Mennonite minister in America, erected here in 1690 the colonies' first paper mill. Successive generations of Rittenhouses built additional mills, establishing this region as the center of American papermaking. By the 1850s this village had over 40 buildings, and seven early buildings survive from this once prosperous industrial community. Scientist David Rittenhouse was born here in 1732.",419,1991,
Women's Pa. Society for the Prevention of Cruelty to Animals,Philadelphia,"1320 Chestnut St., Philadelphia","Sunday, September 22, 2019",39.95064,-75.16256,Roadside,No,"Education, Invention, Science & Medicine, Women","In 1869, thirty women, led by Caroline Earle White, set up the first office of this animal welfare organization here. They created the nation’s first animal shelter and adoptions program after taking over the city dog pound. WPSPCA’s work also resulted in the earliest humane education school program, junior humane society, free veterinary clinic, and anti-vivisection society. The group relocated to Bensalem in 1994.",419,2019,
American Bandstand,Philadelphia,"4601 Market St., Philadelphia","Tuesday, August 5, 1997",39.9585,-75.21259,Roadside,No,"Business & Industry, Motion Pictures & Television","This television program had a major impact on the music, dance, and lifestyles of American teenagers. ""Bandstand,"" a local show, began in 1952. Dick Clark became host in 1956, and on August 5, 1957, ""American Bandstand"" debuted on the nationwide ABC network. Until 1964 the show was broadcast from WFIL-TV here. This 1947 building was one of the first designed and constructed. exclusively for television productions.",417,1997,
Thomas A. Edison High School and the Vietnam War,Philadelphia,"8th St. & Lehigh Ave., Philadelphia","Saturday, November 8, 2014",39.99272,-75.14438,Roadside,No,"Education, Government & Politics 20th Century, Military Post-Civil War","Sixty-four former Edison students died in service to their country during the Vietnam War between 1965 and 1971 – more than any school in the nation. These young men represent the burden and disparity of the war on poor rural and urban communities throughout America. Whether they enlisted voluntarily or were assigned draft numbers that they were unable to avoid by deferment, these men made the ultimate sacrifice.",416,2014,
Thomas Holme (1624-1695),Philadelphia,"Pennypack Park, 3000 Holme Ave., Philadelphia","Saturday, July 29, 1995",40.05671,-75.02155,Roadside,No,"Early Settlement, Government & Politics, Government & Politics 17th Century, William Penn","Appointed by William Penn in 1682 as Surveyor General of Pennsylvania. A member of its first Assembly, 1682, and its Provincial Council, 1683-86. Under Penn's direction, Holme laid out the original portion of Philadelphia. He drafted the first map of this city, 1683, and a map of the settled parts of Pennsylvania, 1687. Here on his estate he was buried - as were members of the Crispin family, relatives of Penn.",414,1995,
"Penn Relays, The",Philadelphia,"At Franklin Field track entrance, 233 S 33rd St., Philadelphia","Saturday, April 29, 1995",39.95111,-75.19068,Roadside,No,Sports & Recreation,Founded 1895 on this site. Officially named The Penn Relay Carnival and hosted annually by the University of Pennsylvania. It gained recognition as the world's first and largest track and field relay meet and the nation's longest uninterrupted collegiate meet. The Relays have drawn top high school and college athletes from the U.S. and elsewhere and have been the scene of numerous American and world records.,411,1995,
Frank Gasparro (1909-2001),Philadelphia,"727 Carpenter St., Philadelphia","Friday, November 1, 2002",39.93703,-75.15581,Roadside,No,"Artists, Government & Politics, Professions & Vocations","Designer of the reverse side of the Lincoln Penny and, with Gilroy Roberts, the Kennedy half-dollar. Born & educated in classical art in Philadelphia, Gasparro was first employed as a junior engraver by the U.S. Mint in 1942. By 1965 he was appointed by President Lyndon Johnson as the 10th Chief Engraver. Designed numerous coins and medals, including, the Eisenhower & Susan B. Anthony dollar.",395,2002,
Old St. Joseph's Roman Catholic Church,Philadelphia,"324 Walnut St., Philadelphia","Thursday, July 31, 2014",39.94722,-75.14765,Roadside,No,"Buildings & Architecture, Religion","In 1729, Rev. Joseph Greaton, SJ, established the earliest foundation of Catholicism in Pa. He was the church’s first pastor and the only Catholic priest in Philadelphia when the church was built in 1733. Jesuits from this parish founded the early frontier missions of Conewago in Adams County and Goshenhoppen in Berks County, as well as the first Catholic churches in New Jersey and Delaware.",394,2014,
Stephen Girard (1750-1831),Philadelphia,"Girard Park, Shunk Sts. between S 21st & S 22nd, Philadelphia","Friday, October 1, 1993",39.91973,-75.18333,Roadside,No,"Buildings & Architecture, Business & Industry, Education, Ethnic & Immigration, Mansions & Manors, Professions & Vocations","Merchant, financier, philanthropist. Born in France, he came to this city in 1776. Girard gave strong support to both the First and Second Banks of the United States. By his will he established Girard College, which opened in 1848. Gentilhommiere, located here, was his country house after 1797. Girard added the center and western sections of the house and operated a 583-acre farm here.",388,1993,
Dr. Mary Davis Ridgway (1873-1927),Philadelphia,"Wissahickon Ave., between Lincoln Dr. and Walnut Ln., Philadelphia","Saturday, September 8, 2001",40.03149,-75.18869,Roadside,No,"Civil Rights, Science & Medicine, Professions & Vocations, Women","A leader in the women's rights movement and a homeopathic physician and surgeon. She was founder of Providence General Hospital (chartered 1913), the principal officers of which were women. From 1914 to 1917 it served the community from nearby Abraham Rittenhouse Home. Political pressure then forced the hospital to move from this site, and it closed shortly after Dr. Ridgway's death.",386,2001,
Reading Terminal & Market,Philadelphia,"On site at Market St. near 12th, at Convention Ctr., Philadelphia","Wednesday, September 10, 2003",39.95229,-75.15913,Roadside,No,"Business & Industry, Railroads, Transportation","The Philadelphia and Reading Railroad’s Terminal Station served passengers from 1893-1984. The train shed, masterpiece of Joseph H. Wilson, is an engineering feat reflecting the era when railroads vied for impressive terminals, both functional and beautiful. The market, located below the shed, descended from colonial-era outdoor markets and began operations in 1892.",368,2003,
Battle of Germantown,Philadelphia,"6401 Germantown Ave. at Clivedon, Germantown, Philadelphia","Saturday, October 5, 1996",40.04644,-75.18242,City,No,"American Revolution, George Washington, Military","The Battle of Germantown occurred at Cliveden, the country home of Pa. Chief Justice Benjamin Chew, on Oct. 4, 1777. A British regiment occupied Cliveden and defended it from full assault by the colonials. Over 70 soldiers died on these grounds. Although it was an American defeat, Washington's bold strategy helped to win French aid for the cause of independence.",364,1996,
"Johnson House, The",Philadelphia,"6306 Germantown Ave., Philadelphia","Thursday, June 1, 1995",40.04328,-75.1809,City,No,"African American, Houses & Homesteads, Religion, Underground Railroad","Built in 1768 for John Johnson. This was home to three generations of a Quaker family who worked to abolish slavery and improve living conditions for freed African Americans. In the 1850s this house was a station on the Underground Railroad. Here and in smaller buildings on the property, men and women escaping slavery found shelter on their way to freedom.",358,1995,
Israel Goldstein (1896-1986),Philadelphia,"At S Phila. High School, 2101 S Broad St., Philadelphia","Wednesday, November 20, 2002",39.92364,-75.16969,Roadside,No,"Education, Ethnic & Immigration, Government & Politics 20th Century, Religion","Born & educated in this city, this leader of the Zionist movement, author, and conservative rabbi presided over many organizations, including the Jewish Nation Fund (1933-43), Zionist Organization of America (1943-61), & American Jewish Congress (1951-58), and was a founder of Brandeis College. He moved to Israel in 1961.",323,2002,
Julian Francis Abele (1881-1950),Philadelphia,"At Philadelphia Museum of Art steps, 26th & Franklin Pkwy.","Tuesday, February 12, 1991",39.96495,-75.17958,Roadside,No,"African American, Buildings & Architecture, Professions & Vocations","The first Black graduate of the University of Pennsylvania's School of Architecture, Abele was the chief designer for the nationally known architectural firm of Horace Trumbauer, whose commissions during Abele's career included the Philadelphia Museum of Art and the Free Library of Philadelphia on Logan Square.",312,1991,
Ralph Modjeski (1861-1940),Philadelphia,"NW corner, N 6th & Race Sts., at Franklin Sq. Park entrance, Philadelphia","Saturday, September 15, 2007",39.9549,-75.14954,City,No,"Bridges, Business & Industry, Ethnic & Immigration, Professions & Vocations","Polish immigrant and civil engineer, Modjeski was one of the most influential figures in American bridge building. He completed the Quebec Bridge on the St. Lawrence River and over 40 others, earning numerous awards. He was chief engineer and designer for the Benjamin Franklin Bridge here, opened in 1926.",306,2007,
Hannah Penn - PLAQUE,Philadelphia,"135 S. 2nd St. (SE corner of 2nd & Sansom), Philadelphia",Dec-26,39.947155,-75.144338,Plaque,Yes,"Government & Politics 18th Century, William Penn, Women","Hannah Penn, 1670-1726, second wife of William Penn presided ably here in the slate roof house 1699-1701. Capable administrator of Pennsylvania affairs 1712-1726. Devoted mother whose sons John, Thomas and Richard Penn succeeded their father as proprietors and governors of the province of Pennsylvania.",303,9832,
Hannah Callowhill Penn,Philadelphia,"S 2nd St. & Sansom St. Walkway (Welcome Park), Philadelphia","Tuesday, October 24, 2000",39.94743,-75.14427,City,No,"Government & Politics, William Penn, Women","Born in 1671, she married William Penn, 1696. They lived at Pennsbury, and in the Slate Roof House here, 1699-1701. During his final illness, 1712-18, and until her death, 1726, she was Pennsylvania's acting proprietor. She was the only woman to control a British proprietary colony for so long.",295,2000,
Mower General Hospital,Philadelphia,"Willow Grove Ave. & Wyndmoor St., Philadelphia","Sunday, September 17, 2000",40.07381,-75.19753,City,No,"Civil War, Military","Described as the largest U.S. Army hospital of its day; designed by noted architect John McArthur, Jr. Here, wounded Civil War soldiers were cared for, Jan. 1863-May 1865. On 27 acres extending to Stenton Ave., it had some 3,600 beds and treated over 20,000 patients. Razed following the war.",292,2000,
Union Fire Company (1736-1843),Philadelphia,"Market St., between 2nd & 3rd (Grindstone Alley)","Saturday, October 1, 2011",39.95006,-75.14453,City,No,"Cities & Towns, Government & Politics 18th Century, Invention, Police and Safety","This first truly volunteer fire company in the US served as a model for others across the nation. Members, including Ben Franklin, purchased tools stored here in Grindstone Alley, helped provide a fire bell, buckets, and an engine for the city, and developed the idea of fire insurance.",286,2011,
Pennsylvania Bible Society,Philadelphia,"NW corner of 7th & Walnut Sts., Philadelphia","Saturday, April 26, 2014",39.94799,-75.15281,City,No,"Education, Publishing & Journalism, Religion","America's first Bible society, founded in 1808 by Robt. Ralston, Bishop Wm. White, and Dr. Benj. Rush. In 1812 PBS was first in the US to print Bibles using stereotyped plates which made them affordable and advanced literacy. Bible House has been its center of distribution since 1854.",285,2014,
Frank Furness (1839-1912),Philadelphia,"1426 Pine St., Philadelphia","Friday, September 14, 2012",39.94567,-75.16642,City,No,"Buildings & Architecture, Professions & Vocations","A nationally influential architect, his forceful designs and bold use of industrial materials helped shape American modernism. His works include the Pa. Academy of Fine Arts and U. of Penn Library. Apprentice to Richard Morris Hunt and mentor to Louis Sullivan, Furness was born here.",284,2012,
John C. Asbury (1862-1941),Philadelphia,"1710 Christian St., Philadelphia","Thursday, April 24, 2014",39.94058,-75.17157,City,No,"African American, Government & Politics 20th Century, Science & Medicine, Publishing & Journalism","A prominent African American Republican who as legislator sponsored a statewide civil rights bill in 1921 that served as a model for future efforts. He was a philanthropist, a founder of Eden Cemetery and Mercy Hospital, and editor of the Odd Fellows’ Journal. Asbury resided here.",281,2014,
Marc Blitzstein (1905-1964),Philadelphia,"419 Pine St., Philadelphia","Monday, June 12, 2017",39.94386,-75.14961,City,No,"Music & Theater, Performers, Professions & Vocations, Writers","An influential American composer, lyricist, and translator who brought vernacular to musical theater was born here. Works include the ground-breaking The Cradle Will Rock and an adaptation of The Threepenny Opera. He studied at Curtis Inst. of Music and mentored Leonard Bernstein.",281,2017,
Philadelphia Sketch Club,Philadelphia,"235 S Camac St., Philadelphia","Saturday, October 11, 2008",39.9474,-75.16164,City,No,Artists,"America’s oldest artists club was founded in 1860 to improve illustration skills. Artists found that social interaction enhanced the creation and appreciation of art. Members included Eakins, Anshutz, Breckenridge, Grafly, Horter, Moran, Pennell, Pitz, Sayen, Wagner, and Wyeth.",278,2008,
"Solitude, The",Philadelphia,"at site on Phila. Zoo grounds, 3400 W Girard Ave., Philadelphia","Sunday, October 11, 2009",39.97198,-75.1957,City,No,"Buildings & Architecture, William Penn","Designed and built in 1784 as a riverside villa by John Penn, Jr., it served as a model for country houses of the Federal period (c. 1775-1830). Administered by the Philadelphia Zoo since 1874, the original Adam Style features, including elegant plaster ceilings, are preserved.",278,2009,
Academy of Natural Sciences,Philadelphia,"302 Market St., Philadelphia","Wednesday, May 15, 2013",39.95021,-75.14581,City,No,"Education, Science & Medicine","Founded nearby in 1812, it is the oldest natural science institution in the Americas. It remains an invaluable resource for the study of life on Earth, with outstanding exhibits and scientific collections. Relocated to Logan Square in 1876, part of Drexel University since 2011.",278,2013,
Sigma Sound Studios,Philadelphia,"In front of parking lot at 211-219 N 12th St. (across the st. from site), Philadelphia","Thursday, October 15, 2015",39.95639,-75.15889,City,No,Music & Theater,"Established in 1968 by Joseph Tarsia, Sigma was known worldwide for its distinctive sound and recording innovations. Hits by The O’Jays, Stylistics, and others produced at 212 N 12th St. by Gamble, Huff, and Bell drew top recording artists such as David Bowie and Stevie Wonder.",278,2015,
U.S.S. United States,Philadelphia,"555 S Columbus Blvd. (S of Independence Seaport Museum, and near Delaware Ave. and Chart House restaurant), Philadelphia","Sunday, October 16, 1983",39.94145,-75.14098,City,No,"Military, War of 1812","First vessel completed for new U.S. Navy. Frigate was launched near here May 10, 1797. Flagship of Capt. John Barry; builder was Joshua Humphreys. In 1812, under Capt. Stephen Decatur, Jr., occurred its celebrated capture of H.M.S. Macedonian. Vessel scrapped at Norfolk, 1866.",277,1983,
Girl Scout Cookies,Philadelphia,"1401 Arch St., Philadelphia","Tuesday, January 16, 2001",39.95444,-75.16376,City,No,"Business & Industry, Women","On November 11, 1932, Girl Scouts baked & sold cookies for the first time in the windows of the Philadelphia Gas & Electric Co. here. This endeavor soon became a Philadelphia tradition. In 1936 the Girl Scouts of the U.S.A. adopted the annual cookie sale as a national program.",277,2001,
Wills Eye Hospital,Philadelphia,"840 Walnut St., Philadelphia","Friday, October 9, 2009",39.94811,-75.15579,City,No,"Education, Invention, Science & Medicine, Professions & Vocations","In operation since 1834, Wills was the first US medical facility dedicated to the treatment of eyes and first to train residents in ophthalmology. Committed to patient care, research, and education, Wills is known worldwide for its surgical and medical innovations in eye care.",277,2009,
Christopher Saur (1693-1758),Philadelphia,"at Trinity Lutheran Church, 5300 Germantown Ave., Phila.","Sunday, April 19, 2009",40.03211,-75.16885,City,No,"Ethnic & Immigration, Professions & Vocations, Publishing & Journalism, Religion","A pioneer printer in colonial America, Saur produced the nation’s first European language Bible here in 1743. He printed the most widely read German newspaper & used his press to alert the public to German causes. He aided fellow German immigrants with his money and influence.",277,2009,
Ruth Plumly Thompson (1891-1976),Philadelphia,"254 S Farragut St., Philadelphia","Sunday, November 4, 2018",39.9539,-75.21507,City,No,"Motion Pictures & Television, Women, Writers","An author of children’s literature, she wrote 19 Oz books (1921-1939), including The Royal Book of Oz, in the series begun by L. Frank Baum with The Wonderful Wizard of Oz. She maintained the popularity of the stories beyond the 1939 classic MGM film. She lived and wrote here.",277,2018,
Philadelphia Flower Show,Philadelphia,"717 Chestnut St., Philadelphia","Thursday, June 6, 2019",39.9494,-75.1531,City,No,"Agriculture, Sports & Recreation","On this site in 1829, the Pa. Horticultural Society hosted its first flower show, the nation’s largest and longest-running horticultural event. Here the American public was introduced to the poinsettia and the chrysanthemum. It re-mains one of the top such events in the world.",277,2019,
Fairmount Park - Commonwealth Treasure,Philadelphia,"Kelly Dr. & Sedgely Dr., Philadelphia","Tuesday, October 9, 2001",39.96961,-75.18482,Roadside,No,"Buildings & Architecture, Environment, Sports & Recreation","The Pennsylvania Historical and Museum Commission declares Fairmount Park a Commonwealth Treasure for all to protect, preserve and enjoy the historical, architectural, environmental, botanical, cultural and recreational diversity of one of the largest city parks in the world.",276,2001,
Masonic Temple Philadelphia,Philadelphia,One N Broad St.,"Wednesday, December 5, 2007",39.95544,-75.16145,City,No,Buildings & Architecture,"The 1873 Masonic Temple, a National Historic Landmark, is home to the Grand Lodge of Pa. Its lodge rooms, featuring varied architectural themes, and its stonework are widely acclaimed. Its prominence in size and location reflects Free-masonry’s importance in American history.",276,2007,
Thomas Ustick Walter (1804-1877),Philadelphia,"1218 Arch St., Philadelphia","Thursday, October 29, 2009",39.95416,-75.16043,City,No,"Buildings & Architecture, Professions & Vocations","Nationally prominent Philadelphia architect who designed the US Capitol dome and wings and Girard College. He was consulting architect for Philadelphia’s City Hall. A founder of the American Institute of Architects, he served as its president. Walter lived near here 1837-41.",275,2009,
The MOVE Bombing,Philadelphia,Cobbs Creek Pkwy. on Cobbs Creek Park side of street opposite Osage Ave.,"Saturday, June 24, 2017",39.95573,-75.24834,City,No,"African American, Government & Politics 20th Century, Police and Safety","On May 13, 1985, at 6221 Osage Avenue, an armed conflict occurred between the Phila. Police Dept. and MOVE members. A Pa. State Police helicopter dropped a bomb on MOVE’s house. An uncontrolled fire killed eleven MOVE members, including five children, and destroyed 61 homes.",275,2017,
Dewey's Sit-in,Philadelphia,"SE corner of 17th & Latimer Sts., Philadelphia","Monday, October 1, 2018",39.94912,-75.16921,City,No,"African American, Business & Industry, Civil Rights","Activists led one of the nation’s first LGBT sit-ins here in 1965 after homosexuals were denied service at Dewey’s restaurant. Inspired by African American lunch counter sit-ins, this event prompted Dewey’s to stop its discriminatory policy, an early victory for LGBT rights.",275,2018,
St. John Neumann,Philadelphia,"St. Peter's Church, N 5th St. & Girard Ave., Philadelphia","Saturday, March 28, 1981",39.97013,-75.14483,City,No,Religion,"Here lie the remains of the first male American saint, canonized in 1977. Born 1811 in Bohemia, he came to the U.S. in 1836. A devoted Redemptorist priest, he became fourth Bishop of Philadelphia, 1852, and set up nation's first Catholic diocesan school system. Died, 1860.",273,1981,
Violet Oakley (1874-1961),Philadelphia,"615 St. George's Rd., off McCallum St., Philadelphia","Tuesday, October 20, 1998",40.05321,-75.20386,City,No,"Artists, Glass, Government & Politics, Women","Artist famed for her murals in Pennsylvania's State Capitol, reflecting Penn's ideals of justice & peace. Also noted for her work in stained glass; book & magazine illustrations. One of three women artists who moved in 1906 to ""Cogslea,"" she lived & worked here until 1961.",273,1998,
Joseph and Amy Cassey (1789-1848)/(1809-56),Philadelphia,"S 4th St. between Chestnut and Market, Philadelphia.","Friday, March 13, 2009",39.94924,-75.14785,City,No,"African American, Professions & Vocations","This prominent, wealthy African American abolitionist couple founded intellectual and benevolent societies for blacks. Dealing in real estate, Joseph provided rentals and loans to both blacks and whites at his barbershop here. Amy was active in the Female Anti-Slavery Soc.",273,2009,
